sum,mean,q1,q2,q3,max,min,name,_TYPE_,_FREQ_,count,std,skew,kurt
11:25:00,0:48:56,0:16:00,0:44:00,1:08:00,2:09:00,0:04:00,Algoritmavimo seminaras,0,14,14,2228.9587575,0.7288012803,-0.059462347
91:43:00,1:40:03,1:28:00,2:00:00,2:00:00,4:53:00,0:03:00,Interneto technologijos,0,55,55,2840.5261997,0.3276369592,4.5660855014
54:29:00,1:30:48,0:44:00,2:00:00,2:00:00,2:39:00,0:03:00,Matematinë logika,0,36,36,2779.0825824,-0.856976219,-0.932335304
213:35,1:11:36,0:28:00,1:03:00,1:31:00,5:20:00,0:00:00,Operacinës sistemos,0,179,179,3422.3505496,1.8077373456,4.9557000842
166:59,1:16:29,0:29:00,1:09:00,2:00:00,8:44:00,0:02:00,Programø sistemø inþinerija,0,131,131,3818.545966,2.9177568672,18.032421778
64:26:00,1:12:57,0:33:00,1:09:00,2:00:00,2:57:00,0:02:00,Psichologijos ávadas,0,53,53,2852.183336,0.097727514,-1.114036891
105:01,1:00:01,0:29:00,1:02:00,1:30:00,2:49:00,0:01:00,Tikimybiø teorija ir matematinë statistika,0,105,105,2171.6113428,0.1008027832,-0.662155314
125:44,0:36:06,0:11:00,0:24:00,0:55:00,2:48:00,0:00:00,Vokieèiø kalba,0,209,209,1999.0260971,1.2469090783,1.2055724289
